content,processed_content,class
"Sri Lanka Rugby has been granted a final extension of four months by World Rugby to resolve its governance crisis. The extension, running from February 15 to June 15, provides a last opportunity for Sri Lanka Rugby (SLR) to enact constitutional reforms and hold elections, failing which severe sanctions will be imposed, including the potential exclusion of Sri Lanka from international rugby events.",sri lanka rugby has been granted a final extension of four months by world rugby to resolve its governance crisis the extension running from february  to june  provides a last opportunity for sri lanka rugby slr to enact constitutional reforms and hold elections failing which severe sanctions will be imposed including the potential exclusion of sri lanka from international rugby events,Sports
"SriLankan Airlines reported a pre-tax loss of Rs.1.96 billion for the seven months ended October 2024, reversing a profit of Rs.4.13 billion in the same period last year, the Finance Ministry said.",srilankan airlines reported a pretax loss of rs billion for the seven months ended october  reversing a profit of rs billion in the same period last year the finance ministry said,Business
A group of young government Diyawanna members had gathered at the council lobby for a chat on the day the no confidence motion against the Top team Member for Health was taken up for debate.,a group of young government diyawanna members had gathered at the council lobby for a chat on the day the no confidence motion against the top team member for health was taken up for debate,Political_gossip
Ireland’s Aimee Maguire has been suspended from bowling in international cricket with immediate effect after an Independent Assessment confirmed that the left-arm spinner uses an illegal bowling action.,irelands aimee maguire has been suspended from bowling in international cricket with immediate effect after an independent assessment confirmed that the leftarm spinner uses an illegal bowling action,Sports
"Hatton National Bank PLC (HNB) reported blowout profits for the October-December quarter, stemming mainly from the mammoth reversal of provisions made against the bank’s investments in International Sovereign Bonds (ISBs) and also the fast-improving lending business, amid lower interest rates.",hatton national bank plc hnb reported blowout profits for the octoberdecember quarter stemming mainly from the mammoth reversal of provisions made against the banks investments in international sovereign bonds isbs and also the fastimproving lending business amid lower interest rates,Business
"Uyghurs and Hong Kongers living in Ireland issued an open letter to the Irish government on Monday, urging them to adopt a human-rights-based approach during their discussions with Chinese Foreign Minister Wang Yi.",uyghurs and hong kongers living in ireland issued an open letter to the irish government on monday urging them to adopt a humanrightsbased approach during their discussions with chinese foreign minister wang yi,World_news
"A section of the party advocates the fielding of the party’s architect at the forthcoming race for Number One office. However, another section of the party is said to be against it.",a section of the party advocates the fielding of the partys architect at the forthcoming race for number one office however another section of the party is said to be against it,Political_gossip
There is a state- run undertaking described as a ‘Bureau’ which deals with all matters relating to the country’s natural resources like minerals.,there is a state run undertaking described as a bureau which deals with all matters relating to the countrys natural resources like minerals,Political_gossip
Jenni Hermoso has told the trial of former Spanish football chief Luis Rubiales that the kiss he gave her at the 2023 World Cup ’’stained one of the happiest days of my life’’.,jenni hermoso has told the trial of former spanish football chief luis rubiales that the kiss he gave her at the  world cup stained one of the happiest days of my life,Sports
"The country’s ambassadorial post in a European country is something in very high demand among both career diplomats and certain politicos and some of them resort to using undue influence to secure such a position. Meanwhile, some envoys already in this post in such countries are reluctant to move out from the post and try their best to hold on to it!",the countrys ambassadorial post in a european country is something in very high demand among both career diplomats and certain politicos and some of them resort to using undue influence to secure such a position meanwhile some envoys already in this post in such countries are reluctant to move out from the post and try their best to hold on to it,Political_gossip
Sri Lankan tech startups and scale-ups gathered at the EDB on 20th February for an insightful and empowering awareness session organized by the Export Services Division (EDB).,sri lankan tech startups and scaleups gathered at the edb on th february for an insightful and empowering awareness session organized by the export services division edb,Business
"There is a whisper going around in the Pohottuwa party these days that it is none but a section of the Pohottuwa members with ties to the main office of the government blocking the new appointments to the Top Team, they say.",there is a whisper going around in the pohottuwa party these days that it is none but a section of the pohottuwa members with ties to the main office of the government blocking the new appointments to the top team they say,Political_gossip
England’s miserable tour of India ended with another heavy defeat as they suffered a 3-0 one-day international series loss.,englands miserable tour of india ended with another heavy defeat as they suffered a  oneday international series loss,Sports
Charith Asalanka led the Sri Lanka ODI team to a thumping 2-0 win over Australia after the home team had been embarrassed in Galle in the Test series by Steven Smith and co.,charith asalanka led the sri lanka odi team to a thumping  win over australia after the home team had been embarrassed in galle in the test series by steven smith and co,Sports
These seniors knew through experience that the grand designs being advocated by the duo were not down to earth – neither reasonable nor practical!,these seniors knew through experience that the grand designs being advocated by the duo were not down to earth  neither reasonable nor practical,Opinion
Some Telephone party members are said to be disenchanted with the party these days mainly due to wrong advice being proffered to the party chief by a certain party heavyweight!,some telephone party members are said to be disenchanted with the party these days mainly due to wrong advice being proffered to the party chief by a certain party heavyweight,Political_gossip
"US President Donald Trump signed an executive order on Wednesday seeking to ban transgender athletes from participating in women’s sports, in his latest move targeting transgender people since returning to office.",us president donald trump signed an executive order on wednesday seeking to ban transgender athletes from participating in womens sports in his latest move targeting transgender people since returning to office,World_news
"Following the recent ‘expulsion’ of the state purohita caught smuggling gold and some other valuable items on his return from abroad, covetous eyes are on the top post of a statutory body that comes under the purview of this state ministry. It is common knowledge that the head of that statutory body is appointed by the state purohita concerned and now that he is gone and a new head for that body is likely to be appointed by his successor, it is s",following the recent expulsion of the state purohita caught smuggling gold and some other valuable items on his return from abroad covetous eyes are on the top post of a statutory body that comes under the purview of this state ministry it is common knowledge that the head of that statutory body is appointed by the state purohita concerned and now that he is gone and a new head for that body is likely to be appointed by his successor it is s,Political_gossip
"Former Sylvester’s, Kandy Sports Club and one of the senior referees, Aruna Rankothge passed away in Kandy today (10).",former sylvesters kandy sports club and one of the senior referees aruna rankothge passed away in kandy today ,Sports
We’ve already seen how Artificial Intelligence (AI) is widely used to fake anything from music to art. Researcher Sasha Luccione affirms that tech companies are violating copyright laws by plagiarising images and text by artists and authors.,weve already seen how artificial intelligence ai is widely used to fake anything from music to art researcher sasha luccione affirms that tech companies are violating copyright laws by plagiarising images and text by artists and authors,Opinion
The main opposition has raised a cry of protest that an unusually large entourage has accompanied Number One on his visit to the Dubai conference.,the main opposition has raised a cry of protest that an unusually large entourage has accompanied number one on his visit to the dubai conference,Political_gossip
"Legislation to curb US investment in China will be reintroduced in Congress, the chair of the House of Representatives’ select committee on China said on Tuesday, adding that the bill’s failure to pass into law last year was not due to opposition from billionaire Elon Musk.",legislation to curb us investment in china will be reintroduced in congress the chair of the house of representatives select committee on china said on tuesday adding that the bills failure to pass into law last year was not due to opposition from billionaire elon musk,World_news
"There is a certain high-up who made an effort to secure the main chair of the Khaki department whenever it was about to fall vacant. Just before the third service extension was granted to the incumbent, this ambitious contender had approached two Buddhist monks who are well- known as power brokers often taking a hand in the matter of making political appointments to high posts.",there is a certain highup who made an effort to secure the main chair of the khaki department whenever it was about to fall vacant just before the third service extension was granted to the incumbent this ambitious contender had approached two buddhist monks who are well known as power brokers often taking a hand in the matter of making political appointments to high posts,Political_gossip
"AIKO, a Bloomberg NEF Tier 1 solar module manufacturer, has launched its World’s No. 1 Efficiency N-TYPE ABC Modules in Sri Lanka,",aiko a bloomberg nef tier  solar module manufacturer has launched its worlds no  efficiency ntype abc modules in sri lanka,Business
"Two incidents of cattle theft were reported from Galewatte, Udugampola in January 2025. One cow, who had been blinded in one eye, was stolled on January 25.",two incidents of cattle theft were reported from galewatte udugampola in january  one cow who had been blinded in one eye was stolled on january ,Political_gossip
There is a taciturn Diyawanna politico who has reportedly said that he will remain an ‘independent’ in the council despite being a senior member of the Top Team!,there is a taciturn diyawanna politico who has reportedly said that he will remain an independent in the council despite being a senior member of the top team,Political_gossip
Quite recently the Pohottuwa chief secretarial one met a Diyawanna member of that party from the Galle district at the council canteen.,quite recently the pohottuwa chief secretarial one met a diyawanna member of that party from the galle district at the council canteen,Political_gossip
A high-up in the security sector who has already come down from being ‘bandu’ to ‘bindu’ due to his unsavory record has reportedly got involved in another scandal! According to the story that has com,a highup in the security sector who has already come down from being bandu to bindu due to his unsavory record has reportedly got involved in another scandal according to the story that has com,Political_gossip
"The plan is to nominate another party member for Number One office despite the Malimawa chief has already announced himself as the party candidate, in a bid to pave the way for a heated session at the politburo meeting, they say.",the plan is to nominate another party member for number one office despite the malimawa chief has already announced himself as the party candidate in a bid to pave the way for a heated session at the politburo meeting they say,Political_gossip
"Friedrich Merz’s conservatives have won Germany’s election, well ahead of rival parties but short of the 30% vote-share they had expected.",friedrich merzs conservatives have won germanys election well ahead of rival parties but short of the  voteshare they had expected,Opinion
A tourist village in China’s south western province of Sichuan famed for its scenic snow landscape said it was sorry for using cotton wool and soapy water to create fake snow after online criticism from visitors went viral.,a tourist village in chinas south western province of sichuan famed for its scenic snow landscape said it was sorry for using cotton wool and soapy water to create fake snow after online criticism from visitors went viral,World_news
"An actress turned Diyawanna member from the South who had fallen out with her party Pohottuwa in the recent past has now decided to return to the fold, they say.",an actress turned diyawanna member from the south who had fallen out with her party pohottuwa in the recent past has now decided to return to the fold they say,Political_gossip
"Notorious drug trafficker and criminal gang leader Sanjeewa Kumara Samararathne known as ‘Ganemulla Sanjeewa,’ was shot dead in the No. 5 Magistrate’s Court within the Hulftsdorp Court Complex this week. The suspected assassin was arrested in the Paalaavi area of Puttalam. It was announced first that the arrested person was 34-year-old Mohamed Azman Sherifdeen. Subsequently Public Security Minister Ananda Wijepala disclosed that the suspected kil",notorious drug trafficker and criminal gang leader sanjeewa kumara samararathne known as ganemulla sanjeewa was shot dead in the no  magistrates court within the hulftsdorp court complex this week the suspected assassin was arrested in the paalaavi area of puttalam it was announced first that the arrested person was yearold mohamed azman sherifdeen subsequently public security minister ananda wijepala disclosed that the suspected kil,Opinion
"Taiwan-based Delta Electronics is investing $500 million, announced in 2015, under the government’s Make in India initiative to expand its presence in the domestic market, a top company official said.",taiwanbased delta electronics is investing  million announced in  under the governments make in india initiative to expand its presence in the domestic market a top company official said,World_news
Sri Lanka take on Australia in two ODIs in Colombo on February 12 and 14 respectively.,sri lanka take on australia in two odis in colombo on february  and  respectively,Sports
"This politico once ran for the highest office and later had to spend some time in the state lodge as well. A belligerent character, he is now occupying a main chair in the Telephone party.",this politico once ran for the highest office and later had to spend some time in the state lodge as well a belligerent character he is now occupying a main chair in the telephone party,Political_gossip
"The enforcement of Sri Lanka’s Personal Data Protection Act (PDPA) has been delayed by six months, with the government citing public sector readiness concerns.",the enforcement of sri lankas personal data protection act pdpa has been delayed by six months with the government citing public sector readiness concerns,Business
"The institution of criminal proceedings is of vital concern to the public. Irrespective of the outcome of proceedings,",the institution of criminal proceedings is of vital concern to the public irrespective of the outcome of proceedings,Opinion
"Sri Lanka is on track for another record-breaking month in tourist arrivals this February, with arrivals in the first 20 days surpassing 175,000.",sri lanka is on track for another recordbreaking month in tourist arrivals this february with arrivals in the first  days surpassing ,Business
"Nations Trust Bank PLC posted a strong financial performance for the three months ending December 2024, fueled by a large provision reversal from its International Sovereign Bond (ISB) investments and a solid core banking performance, as demand for new loans continued to rise.",nations trust bank plc posted a strong financial performance for the three months ending december  fueled by a large provision reversal from its international sovereign bond isb investments and a solid core banking performance as demand for new loans continued to rise,Business
"Sri Lanka has been recognised as a country with the potential to become its own brand. However, strategic experts opine that in order to become a futuristic country, Sri Lanka should first eliminate corruption in the bureaucracy.",sri lanka has been recognised as a country with the potential to become its own brand however strategic experts opine that in order to become a futuristic country sri lanka should first eliminate corruption in the bureaucracy,Business
The first-ever Conference for Women Peacekeepers on the theme “Women in Peacekeeping: A Global South Perspective” will take place here from Monday.,the firstever conference for women peacekeepers on the theme women in peacekeeping a global south perspective will take place here from monday,Opinion
United States President Donald Trump has said he will “probably” meet Russian President Vladimir Putin this month while launching a broadside effectively accusing Ukrainian President Volodymyr Zelenskyy of being to blame for Moscow’s invasion.,united states president donald trump has said he will probably meet russian president vladimir putin this month while launching a broadside effectively accusing ukrainian president volodymyr zelenskyy of being to blame for moscows invasion,World_news
"The Computer Society of Sri Lanka (CSSL) has reaffirmed its commitment to digital excellence with the unveiling of the CSSL National CIO List 2024, an initiative recognizing the nation’s top Chief Information Officers (CIOs) for their outstanding contributions to the industry.",the computer society of sri lanka cssl has reaffirmed its commitment to digital excellence with the unveiling of the cssl national cio list  an initiative recognizing the nations top chief information officers cios for their outstanding contributions to the industry,Business
England suffered another disappointing defeat in Brendon McCullum’s first one-day international in charge as India won their series opener in Nagpur by four wickets.,england suffered another disappointing defeat in brendon mccullums first oneday international in charge as india won their series opener in nagpur by four wickets,Sports
Sri Lanka mired in a deep economic depression requires mammoth efforts to lift itself out of the crisis.,sri lanka mired in a deep economic depression requires mammoth efforts to lift itself out of the crisis,Opinion
"When I started my career in Paediatrics nearly 25 years ago as a Trainee at the Postgraduate Institute of Medicine, I learned gradually, one by one, the great professionals who developed the field of Paediatrics in this country.",when i started my career in paediatrics nearly  years ago as a trainee at the postgraduate institute of medicine i learned gradually one by one the great professionals who developed the field of paediatrics in this country,Opinion
"A national betrayal was orchestrated in 2015/16 under the guise of good governance, executed by the Yahapalana administration led by Maithripala Sirisena’s SLFP and Ranil Wickremesinghe’s UNP—with its present-day offshoot, the SJB, also bearing responsibility.",a national betrayal was orchestrated in  under the guise of good governance executed by the yahapalana administration led by maithripala sirisenas slfp and ranil wickremesinghes unpwith its presentday offshoot the sjb also bearing responsibility,Opinion
"Hatton National Bank PLC (HNB) was named as Sri Lanka’s Best Retail Bank for the 15th time, at TAB Global Excellence in Retail Financial Services Awards 2025, held in Tokyo, Japan.",hatton national bank plc hnb was named as sri lankas best retail bank for the th time at tab global excellence in retail financial services awards  held in tokyo japan,Business
"Indices closed in red as a result of price losses in counters such as Hatton National Bank, National Development Bank and Commercial Bank with the turnover crossing Rs. 2.1 Bn.",indices closed in red as a result of price losses in counters such as hatton national bank national development bank and commercial bank with the turnover crossing rs  bn,Business
"Sinhalese Sports Club (SSC), one of Sri Lanka’s topmost cricket-playing domestic clubs, are in a spot of bother as they are on the verge of losing their first-class status after their lacklustre performance in the ongoing Major Club three-day cricket tournament.",sinhalese sports club ssc one of sri lankas topmost cricketplaying domestic clubs are in a spot of bother as they are on the verge of losing their firstclass status after their lacklustre performance in the ongoing major club threeday cricket tournament,Sports
World Test Championship Final-bound Australia on Sunday (February 9) ended a 21-year wait for a Test series white-wash in Sri Lanka with a thumping 9-wicket victory over the hosts in the 2nd Test at the Galle International Stadium in Galle.,world test championship finalbound australia on sunday february  ended a year wait for a test series whitewash in sri lanka with a thumping wicket victory over the hosts in the nd test at the galle international stadium in galle,Sports
"Donald Trump was right: Ukraine started the war. Again, Trump was right; if he had been in office, the Ukraine war would not have happened.",donald trump was right ukraine started the war again trump was right if he had been in office the ukraine war would not have happened,Opinion
"India has assumed the chairmanship of the Bay of Bengal Inter-Governmental Organisation at the 13th Governing Council Meeting in Male, Maldives.",india has assumed the chairmanship of the bay of bengal intergovernmental organisation at the th governing council meeting in male maldives,World_news
"A 30-year-old Hong Kong political party that used to lead the city’s pro-democracy camp before Beijing cracked down on dissent will start preparations to shut down, its leader said Thursday.",a yearold hong kong political party that used to lead the citys prodemocracy camp before beijing cracked down on dissent will start preparations to shut down its leader said thursday,World_news
"The Employers’ Symposium 2025 organized by the Employers’ Federation of Ceylon (EFC) which is a much looked forward to event among the EFC’s member-companies and other business stakeholders, will take place on February 28 at the Monarch Imperial.",the employers symposium  organized by the employers federation of ceylon efc which is a much looked forward to event among the efcs membercompanies and other business stakeholders will take place on february  at the monarch imperial,Business
"Sanjay Ganlath’s journey into the world of sports management is as inspiring as it is unconventional. With deep roots in a sports-centric family and an early immersion in basketball, Ganlath’s life has been defined by passion, perseverance, and a commitment to empowering the next generation of athletes in Sri Lanka.",sanjay ganlaths journey into the world of sports management is as inspiring as it is unconventional with deep roots in a sportscentric family and an early immersion in basketball ganlaths life has been defined by passion perseverance and a commitment to empowering the next generation of athletes in sri lanka,Sports
"The US has twice sided with Russia in votes at the UN to mark the third anniversary of the Russian invasion of Ukraine, highlighting the Trump administration’s change of stance on the war.",the us has twice sided with russia in votes at the un to mark the third anniversary of the russian invasion of ukraine highlighting the trump administrations change of stance on the war,World_news
Pakistan will host a first major cricket tournament in almost three decades from Wednesday in a move hailed as a landmark just a few years after the country was off-limits because of security fears.,pakistan will host a first major cricket tournament in almost three decades from wednesday in a move hailed as a landmark just a few years after the country was offlimits because of security fears,Sports
"In a significant shift, the JVP has abandoned its ideological rigidities and embraced a more pragmatic approach, acknowledging the complexities of the country’s current politico-economic realities.",in a significant shift the jvp has abandoned its ideological rigidities and embraced a more pragmatic approach acknowledging the complexities of the countrys current politicoeconomic realities,Opinion
"There are wonderful characters among the Diyawanna council members. Some of them possess the wonderful forte to hold up truth as falsehood or vice versa, they say.",there are wonderful characters among the diyawanna council members some of them possess the wonderful forte to hold up truth as falsehood or vice versa they say,Political_gossip
Sri Lanka pulled off a stunning comeback against world champions Australia to clinch a 49-run victory in the first one-day international on Wednesday after a century by captain Charith Asalanka.,sri lanka pulled off a stunning comeback against world champions australia to clinch a run victory in the first oneday international on wednesday after a century by captain charith asalanka,Sports
"In yesterday’s weekly T-Bill auction, the weighted average yield rates experienced a slight further decline. The weighted average yield rates for the 3M, 6M, and 12M T-Bills stood at 7.57%, 7.87%, and 8.35%, respectively, reflecting auction yield drops of 4bps, 3bps, and 1bps.",in yesterdays weekly tbill auction the weighted average yield rates experienced a slight further decline the weighted average yield rates for the m m and m tbills stood at   and  respectively reflecting auction yield drops of bps bps and bps,Business
A crush at New Delhi Railway Station has left at least 18 people dead and a further 10 injured.,a crush at new delhi railway station has left at least  people dead and a further  injured,World_news
"Serendib Flour Mills, Sri Lanka’s leader in wheat flour manufacturing, participated in the globally renowned Gulfood 2025 exhibition in Dubai, the world’s largest annual food and hospitality showcase, accompanied by their valued customers.",serendib flour mills sri lankas leader in wheat flour manufacturing participated in the globally renowned gulfood  exhibition in dubai the worlds largest annual food and hospitality showcase accompanied by their valued customers,Business
Australia spin bowler Matt Kuhnemann has been reported for a suspected illegal bowling action after his dominant performance in the test series against Sri Lanka.,australia spin bowler matt kuhnemann has been reported for a suspected illegal bowling action after his dominant performance in the test series against sri lanka,Sports
Sri Lankan left-arm spinner Chamodi Praboda has been named in the Team of the Tournament for the ICC Women’s Under-19 T20 World Cup 2025.,sri lankan leftarm spinner chamodi praboda has been named in the team of the tournament for the icc womens under t world cup ,Sports
"Truth, the idiom goes is often stranger than fiction. Our country seems to embody this truism. Days ago we were jolted when media reported the Attorney General -whose independent status has withstood numerous changes as per the Constitution- advised law enforcement authorities that there was insufficient evidence to prosecute the three persons accused of abducting the driver of - Lasantha Wickrematunge- Editor of the now defunct ‘Sunday Leader’ n",truth the idiom goes is often stranger than fiction our country seems to embody this truism days ago we were jolted when media reported the attorney general whose independent status has withstood numerous changes as per the constitution advised law enforcement authorities that there was insufficient evidence to prosecute the three persons accused of abducting the driver of  lasantha wickrematunge editor of the now defunct sunday leader n,Opinion
A group from the Blue party is said to be set to team up with the Telephone party and their plan is to persuade the party chief to go into an alliance with that party.,a group from the blue party is said to be set to team up with the telephone party and their plan is to persuade the party chief to go into an alliance with that party,Political_gossip
The former Number One Gota is said to be no longer interested in participating in active politics.,the former number one gota is said to be no longer interested in participating in active politics,Political_gossip
"Sampath Bank reaffirmed its commitment to advancing digital financial inclusion in Sri Lanka by actively participating in the Digital Payments Promotion Campaign 2025,",sampath bank reaffirmed its commitment to advancing digital financial inclusion in sri lanka by actively participating in the digital payments promotion campaign ,Business
"The US President Donald Trump’s announcement on a 90-day pause on foreign aid channeled through the U.S. Agency for International Development (USAID) in various countries under his “America First” foreign policy has sent shockwaves across the world,",the us president donald trumps announcement on a day pause on foreign aid channeled through the us agency for international development usaid in various countries under his america first foreign policy has sent shockwaves across the world,World_news
"Two days ago President Anura Kumara Dissanayake had the somewhat daunting task of presenting his government’s first budget. AKD as the incumbent president, was voted into power by a population sick and tired of the corrupt rulers who promised much, but delivered only excuses for broken promises.",two days ago president anura kumara dissanayake had the somewhat daunting task of presenting his governments first budget akd as the incumbent president was voted into power by a population sick and tired of the corrupt rulers who promised much but delivered only excuses for broken promises,Opinion
"Since assuming power, the National People’s Power Government has tried to strike a delicate balance between fiscal consolidation guided by the IMF reform formula and NPP’s expansive campaign promises and election rhetorics. During the first four months in office, it played within the confines of the IMF programme, which was the mainstay of Sri Lanka’s quicker-than-expected economic recovery. That not only helped assuage investor fears, but also m",since assuming power the national peoples power government has tried to strike a delicate balance between fiscal consolidation guided by the imf reform formula and npps expansive campaign promises and election rhetorics during the first four months in office it played within the confines of the imf programme which was the mainstay of sri lankas quickerthanexpected economic recovery that not only helped assuage investor fears but also m,Opinion
"A heavyweight of the Telephone party who had been carrying on a selfcentered lonely campaign disregarding party discipline in the recent past has now decided to behave himself, they say.",a heavyweight of the telephone party who had been carrying on a selfcentered lonely campaign disregarding party discipline in the recent past has now decided to behave himself they say,Political_gossip
"Radisson Hotel Kandy announced that it has been recognized with the Agoda Gold Circle Award 2024, an accolade that celebrates top-performing hotels committed to excellence in service, guest satisfaction, and industry best practices.",radisson hotel kandy announced that it has been recognized with the agoda gold circle award  an accolade that celebrates topperforming hotels committed to excellence in service guest satisfaction and industry best practices,Business
China’s military on Monday said a Canadian warship which passed through the Taiwan Strait ’’undermines peace.’’,chinas military on monday said a canadian warship which passed through the taiwan strait undermines peace,World_news
"Laundry brand Diva from Hemas Consumer Brands, was recognised at the Effie Awards 2024 with the Bronze Award in the Home Supplies and Services category,",laundry brand diva from hemas consumer brands was recognised at the effie awards  with the bronze award in the home supplies and services category,Business
"Dialog Enterprise, the corporate ICT solutions arm of Dialog Axiata PLC, is expanding its footprint in the Video Surveillance and Video Analytics domain through strategic collaborations with leading technology partners, along with many other renowned physical security brands. This initiative is set to redefine the standards of security and operational intelligence across industries.",dialog enterprise the corporate ict solutions arm of dialog axiata plc is expanding its footprint in the video surveillance and video analytics domain through strategic collaborations with leading technology partners along with many other renowned physical security brands this initiative is set to redefine the standards of security and operational intelligence across industries,Business
"South Korean actress Kim Sae-ron has been found dead in Seoul, police have said.",south korean actress kim saeron has been found dead in seoul police have said,World_news
"Having learnt that new governing ones were to be appointed, a politico, a former purohita had called on a bigwig at the country’s main office and had told him that if he were appointed as the governing one of the Eastern province from where he hailed, he would be in a position to garner several lakhs of votes for his boss at the forthcoming big poll.",having learnt that new governing ones were to be appointed a politico a former purohita had called on a bigwig at the countrys main office and had told him that if he were appointed as the governing one of the eastern province from where he hailed he would be in a position to garner several lakhs of votes for his boss at the forthcoming big poll,Political_gossip
"After seeing a screening of the film RANI, I walked out of the Majestic Cinema devoid of any feelings. It was a terrible film. Badly acted, badly directed, and badly researched. It was only after I started hearing the many plaudits being voiced by the self-satisfied hoi polloi of Colombo that I decided that I want to state my opinion about two people that many of us loved, respected, and knew intimately.",after seeing a screening of the film rani i walked out of the majestic cinema devoid of any feelings it was a terrible film badly acted badly directed and badly researched it was only after i started hearing the many plaudits being voiced by the selfsatisfied hoi polloi of colombo that i decided that i want to state my opinion about two people that many of us loved respected and knew intimately,Opinion
"Sri Lanka Rugby (SLR) finds itself mired in yet another administrative turmoil, a crisis emblematic of the wider governance issues plaguing sports in the country.",sri lanka rugby slr finds itself mired in yet another administrative turmoil a crisis emblematic of the wider governance issues plaguing sports in the country,Sports
"The ASPI closed in red as a result of price losses in counters such as Ceylinco Holdings, Commercial Bank and Hatton National Bank with the turnover crossing Rs. 2.3 bn.",the aspi closed in red as a result of price losses in counters such as ceylinco holdings commercial bank and hatton national bank with the turnover crossing rs  bn,Business
The removal of the Blue party secretarial one is something we had predicted earlier. Now the die is cast!,the removal of the blue party secretarial one is something we had predicted earlier now the die is cast,Political_gossip
South Korea has accused Chinese AI startup DeepSeek of sharing user data with the owner of TikTok in China.,south korea has accused chinese ai startup deepseek of sharing user data with the owner of tiktok in china,World_news
"The debate on the VAT (Amendment) Bill had to be postponed on the day it was taken up due to lack of a quorum. In fact, some government bigwigs as well as many opposition members were absent on that day.",the debate on the vat amendment bill had to be postponed on the day it was taken up due to lack of a quorum in fact some government bigwigs as well as many opposition members were absent on that day,Political_gossip
"The killing of Ganemulle Sanjeewa, who is described as an underworld leader at a courtroom of the country’s main Hulftsdorp court complex on Wednesday was not the first of its kind. The officer in charge of the Weerangula police station and his uncle was killed inside the Attanagalla Magistrate court in early 1990. In another incident, Dammika Amarasinghe, a witness of a case involving a high-profile businessman was shot dead within a Hulftsdorp",the killing of ganemulle sanjeewa who is described as an underworld leader at a courtroom of the countrys main hulftsdorp court complex on wednesday was not the first of its kind the officer in charge of the weerangula police station and his uncle was killed inside the attanagalla magistrate court in early  in another incident dammika amarasinghe a witness of a case involving a highprofile businessman was shot dead within a hulftsdorp,Opinion
"Sri Lanka continued their dominance over Australia in the second ODI of their bilateral series, clinching a 174-run victory at the R. Premadasa Stadium.",sri lanka continued their dominance over australia in the second odi of their bilateral series clinching a run victory at the r premadasa stadium,Sports
